AVG_TOTAL_DEMAND,AVG_FRAC_COST,AVG_INT_COST,AVG_FLOW,STD_TOTAL_DEMAND,STD_FRAC_COST,STD_INT_COST,STD_FLOW
5.6,3858.920057,3858.920057,5.6,0.64,3010908.568,3010908.568,0.64
4.8,4283.827381,4283.827381,4.8,4.16,9913187.39,9913187.39,4.16
14.4,6984.1325,6984.1325,14.4,34.64,24309317.31,24309317.31,34.64
20.8,6837.664275,6837.664275,20.8,87.76,5919132.236,5919132.236,87.76
32.8,8479.721122,8479.721122,32.8,106.56,48009827.11,48009827.11,106.56
48.2,7036.514639,7036.514639,48.2,75.76,6937875.159,6937875.159,75.76
67.2,5291.711451,5291.711451,67.2,496.56,2478624.821,2478624.821,496.56
98.2,5912.272857,5912.272857,98.2,810.16,4911147.313,4911147.313,810.16
130.8,5920.653914,5920.653914,130.8,2269.36,3548926.835,3548926.835,2269.36
204.6,5999.273277,5999.273277,204.6,3265.84,1961937.604,1961937.604,3265.84
298.8,5938.793519,5938.793519,298.8,8158.16,2011942.54,2011942.54,8158.16
441.2,5969.189963,5969.189963,441.2,12892.96,1742678.317,1742678.317,12892.96
661,5661.578889,5661.578889,661,33708.4,992561.4536,992561.4536,33708.4
980.6,5665.733037,5672.674561,980.6,72901.04,1488399.671,1467269.342,72901.04
543.8,5529.344315,5534.131491,543.8,20059.36,1055964.066,1069770.882,20059.36
706.6,5428.483584,5428.483584,706.6,39661.84,341890.1558,341890.1558,39661.84
750.8,5207.236673,5213.58125,750.8,36795.76,870999.0758,854558.7949,36795.76
697.2,5140.177397,5144.312805,697.2,31078.16,895091.6694,905231.279,31078.16
494.2,5143.356216,5143.356216,494.2,18032.96,1396527.748,1396527.748,18032.96
482.4,5004.692168,5004.716931,482.4,15849.84,623204.4193,623253.0537,15849.84
462.2,5074.684407,5074.684407,462.2,14068.56,1112072.229,1112072.229,14068.56
401,4642.263913,4642.263913,401,10270,987653.2652,987653.2652,10270
350.2,4689.114717,4689.114717,350.2,8130.96,398599.1789,398599.1789,8130.96
324.8,4434.387915,4434.387915,324.8,7226.96,433648.2447,433648.2447,7226.96
274.4,4595.981553,4595.981553,274.4,6381.04,502315.8346,502315.8346,6381.04
266.2,4406.765932,4406.765932,266.2,5746.56,229851.7411,229851.7411,5746.56
221.2,4360.333022,4360.333022,221.2,3308.96,239118.2413,239118.2413,3308.96
188.8,4486.999822,4486.999822,188.8,2001.76,68433.39649,68433.39649,2001.76
178.2,4380.135946,4380.135946,178.2,2782.96,154561.5889,154561.5889,2782.96
152.4,4418.978086,4418.978086,152.4,916.24,1193823.104,1193823.104,916.24
148.4,4183.357732,4183.357732,148.4,1463.04,1610458.775,1610458.775,1463.04
56,4891.080763,4891.080763,56,287.2,1972671.131,1972671.131,287.2
